precmz,rettime,sample,precz
432.2385864257813,3.738,20180409_RLUS135312ACED0-1_seen.mzml_chromatograms_deconvoluted.csv,1
433.2416076660156,3.731,20180409_RLUS135312ACED0-1_seen.mzml_chromatograms_deconvoluted.csv,1
450.3005981445313,3.753,20180409_RLUS135312ACED0-1_seen.mzml_chromatograms_deconvoluted.csv,1
468.3110046386719,3.76,20180409_RLUS135312ACED0-1_seen.mzml_chromatograms_deconvoluted.csv,1
469.31549072265625,3.753,20180409_RLUS135312ACED0-1_seen.mzml_chromatograms_deconvoluted.csv,1
432.2389526367188,3.738,20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,1
432.2898864746094,3.753,20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,1
433.2424926757813,3.738,20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,1
450.3008117675781,3.753,20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,1
451.3046417236328,3.753,20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,1
452.3067932128906,3.753,20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,1
468.31201171875,3.753,20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,1
469.3133850097656,3.753,20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,1
432.2386932373047,3.738,20180409_RLUS135312ACED0-3_seen.mzml_chromatograms_deconvoluted.csv,1
433.2414855957031,3.738,20180409_RLUS135312ACED0-3_seen.mzml_chromatograms_deconvoluted.csv,1
433.2922058105469,3.76,20180409_RLUS135312ACED0-3_seen.mzml_chromatograms_deconvoluted.csv,1
450.3004608154297,3.76,20180409_RLUS135312ACED0-3_seen.mzml_chromatograms_deconvoluted.csv,1
451.3042907714844,3.76,20180409_RLUS135312ACED0-3_seen.mzml_chromatograms_deconvoluted.csv,1
452.306396484375,3.76,20180409_RLUS135312ACED0-3_seen.mzml_chromatograms_deconvoluted.csv,1
468.3110961914063,3.753,20180409_RLUS135312ACED0-3_seen.mzml_chromatograms_deconvoluted.csv,1
432.2395935058594,3.739,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
432.2908020019531,3.753,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
433.2424011230469,3.739,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
450.3008117675781,3.753,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
451.3053894042969,3.753,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
452.3080139160156,3.753,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
466.2973937988281,3.739,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
468.3118896484375,3.76,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
469.31439208984375,3.76,20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,1
